isin,gvkey,year,quarter,cc_expo_ew,cc_risk_ew,cc_pos_ew,cc_neg_ew,cc_sent_ew
CA04878Q8636,162346.0,2006,2,0.004136505,0.0,0.001551189,0.0,0.001551189
CA04963Y1025,272705.0,2011,3,0.001104362,0.0,0.001104362,0.0,0.001104362
CA09071W1041,184413.0,2014,1,0.008038585,0.0,0.001607717,-0.000803859,0.000803859
CA09950M3003,105632.0,2017,1,0.010928962,0.0,0.004098361,-0.00204918,0.00204918
CA11777Q2099,179060.0,2018,2,0.000672948,0.0,0.0,0.0,0.0
CA13321L1085,24370.0,2016,3,0.002039152,0.00040783,0.0,-0.000815661,-0.000815661
CA13645T1003,2698.0,2013,2,0.000475511,0.0,0.000237756,0.0,0.000237756
CA1366812024,2703.0,2020,3,0.000283607,0.0,0.000283607,0.0,0.000283607
CA1366812024,2703.0,2021,4,0.002613999,0.0,0.000290444,-0.000290444,0.0
CA1367178326,14433.0,2022,4,0.013353116,0.00148368,0.006429278,-0.003461919,0.002967359
CA14069Q1019,160317.0,2010,1,0.007874016,0.0,0.00492126,0.0,0.00492126
CA17178G1046,34887.0,2021,4,0.004321988,0.0,0.002160994,-0.002160994,0.0
CA1724541000,157476.0,2009,3,0.000449438,0.0,0.0,0.0,0.0
CA18912C1023,31124.0,2021,4,0.000327332,0.0,0.000327332,0.0,0.000327332
CA19238T1003,20315.0,2017,3,0.000873362,0.0,0.000873362,0.0,0.000873362
CA1946931070,28485.0,2006,3,0.00040568,0.0,0.0,0.0,0.0
CA22576C1014,145812.0,2013,3,0.001127396,0.0,0.0,-0.000563698,-0.000563698
CA22717L1013,22460.0,2020,1,0.000530504,0.0,0.0,0.0,0.0
CA23290R1010,146543.0,2011,3,0.000482859,0.0,0.0,0.0,0.0
CA31943B1004,22970.0,2008,3,0.000353857,0.0,0.0,0.0,0.0
CA3359341052,106464.0,2013,4,0.000879507,0.0,0.0,0.0,0.0
CA3748252069,187392.0,2022,2,0.008161306,0.0,0.002880461,0.0,0.002880461
CA4039254079,64196.0,2022,2,0.001394311,0.0,0.001115449,0.0,0.001115449
CA44329V1031,127177.0,2010,2,0.000727802,0.0,0.000727802,-0.000727802,0.0
CA4480551031,13994.0,2004,1,0.001411433,0.0,0.0,0.0,0.0
CA4480551031,13994.0,2009,2,0.010416667,0.0,0.00390625,0.0,0.00390625
CA4509131088,62337.0,2015,3,0.00066912,0.00033456,0.0,0.0,0.0
CA48213W1014,143403.0,2018,4,0.001416932,0.0,0.000354233,0.0,0.000354233
CA48213Y1079,35323.0,2023,4,0.000573066,0.0,0.000286533,-0.000286533,0.0
CA48575L1076,186102.0,2023,4,0.001445087,0.0,0.000722543,-0.000722543,0.0
CA4969024047,8644.0,2010,1,0.000155424,0.0,0.000155424,0.0,0.000155424
CA5359194019,28378.0,2012,2,0.000451467,0.000451467,0.0,-0.000451467,-0.000451467
CA5503721063,108297.0,2015,1,0.000420521,0.0,0.0,0.0,0.0
CA5734591046,65441.0,2014,2,0.000234522,0.0,0.000234522,0.0,0.000234522
CA61945Q1028,29407.0,2011,2,0.000378358,0.0,0.0,0.0,0.0
CA63010G1000,32420.0,2024,2,0.009937888,0.0,0.00310559,-0.001863354,0.001242236
CA64045Y1088,26511.0,2010,2,0.005086774,0.0,0.002692998,0.0,0.002692998
CA64046G1063,32799.0,2024,3,0.004426955,0.0,0.001967536,-0.001475652,0.000491884
CA65334H1029,2697.0,2011,1,0.000587199,0.0,0.0002936,0.0,0.0002936
CA6568111067,176103.0,2020,3,0.001187648,0.0,0.0,-0.001187648,-0.001187648
CA6632782083,23994.0,2021,2,0.000312695,0.0,0.0,0.0,0.0
CA67000B1040,61356.0,2006,4,0.000677048,0.0,0.0,0.0,0.0
CA6904811065,64790.0,2008,2,0.000931532,0.0,0.000465766,0.0,0.000465766
CA6979001089,20670.0,2017,2,0.000558971,0.0,0.0,0.0,0.0
CA74164W1068,180475.0,2013,3,0.001665741,0.0,0.0,-0.001110494,-0.001110494
CA74167P1080,20338.0,2023,4,0.001343635,0.0,0.000335909,0.0,0.000335909
CA75622P1045,23635.0,2022,1,0.000463607,0.0,0.0,-0.000927214,-0.000927214
CA7669101031,108071.0,2010,1,0.000288101,0.0,0.0,-0.000288101,-0.000288101
CA7751092007,9215.0,2002,4,0.000212404,0.0,0.000424809,0.0,0.000424809
CA7819036046,4599.0,2006,1,0.002175489,0.0,0.000725163,0.0,0.000725163
CA7847301032,26768.0,2024,1,0.004531722,0.0,0.0,0.0,0.0
CA86084H1001,24200.0,2023,1,0.000602047,0.0,0.000602047,0.0,0.000602047
CA87974D1006,14372.0,2013,2,0.001474926,0.0,0.000491642,-0.000491642,0.0
CA8911021050,15020.0,2021,1,0.000640205,0.0,0.0,0.0,0.0
CA89612W1023,184905.0,2019,2,0.0002886,0.0,0.0002886,0.0,0.0002886
CA91688R1082,165637.0,2008,1,0.00408998,0.0,0.000408998,-0.00204499,-0.001635992
CA92663R1055,32860.0,2023,3,0.000828157,0.0,0.000828157,0.0,0.000828157
CA9279263037,12321.0,2019,1,0.004051864,0.0,0.000810373,0.0,0.000810373
CA9604105044,122017.0,2007,2,0.000769823,0.0,0.000384911,-0.000384911,0.0
CA9609083097,108831.0,2017,4,0.010282776,0.0,0.003598972,-0.000514139,0.003084833
CH0000816824,101853.0,2024,4,0.003524673,0.000503525,0.003524673,-0.001007049,0.002517623
CH0002088976,102493.0,2011,1,0.000413394,0.0,0.0,0.0,0.0
CH0012005267,101310.0,2021,4,0.000202511,0.0,0.000202511,-0.000405022,-0.000202511
CH0012221716,210418.0,2023,1,0.001381215,0.0,0.001381215,0.0,0.001381215
CH0014852781,205699.0,2012,3,0.001083424,0.0,0.0,-0.000216685,-0.000216685
CH0018294154,243535.0,2022,2,0.000909091,0.0,0.0,0.0,0.0
CH0025751329,102696.0,2022,2,0.00152439,0.0,0.000304878,0.0,0.000304878
CH0038863350,16603.0,2014,1,0.000193237,0.0,0.0,0.0,0.0
CH0102659627,15805.0,2018,1,0.000384025,0.0,0.000384025,-0.000768049,-0.000384025
CH0102993182,177267.0,2010,2,0.000948767,0.0,0.0,-0.000632511,-0.000632511
CH0126881561,63546.0,2015,2,0.000164096,0.000164096,0.000164096,-0.000328192,-0.000164096
CH0225173167,316424.0,2023,1,0.001055409,0.0,0.000527704,0.0,0.000527704
CH0386200239,326827.0,2023,3,0.000394477,0.0,0.0,0.0,0.0
CL0000000183,213297.0,2012,1,0.000370096,0.0,0.000370096,0.0,0.000370096
CNE100000171,270420.0,2014,2,0.000484027,0.0,0.000968054,0.0,0.000968054
COT09PA00035,201095.0,2021,1,0.005107252,0.00102145,0.004341164,-0.000510725,0.003830439
CZ0008019106,204719.0,2019,3,0.000550358,0.0,0.001100715,-0.000550358,0.000550358
CZ0009093209,206759.0,2014,4,0.000768935,0.0,0.000384468,0.0,0.000384468
DE0005089031,225236.0,2022,1,0.000449843,0.000449843,0.0,-0.000449843,-0.000449843
DE0005439004,100609.0,2009,1,0.00102494,0.000341647,0.00102494,-0.000341647,0.000683293
DE0005565204,222340.0,2022,2,0.001626545,0.000650618,0.0,-0.000650618,-0.000650618
DE0006070006,100054.0,2017,1,0.000390625,0.0,0.000390625,0.0,0.000390625
DE0006305006,100301.0,2018,3,0.001978892,0.0,0.0,0.0,0.0
DE0006452907,228623.0,2022,1,0.000643087,0.0,0.000643087,0.0,0.000643087
DE0006483001,100037.0,2004,4,0.000981836,0.000490918,0.0,-0.000981836,-0.000981836
DE0007037129,100953.0,2021,2,0.017241379,0.0,0.004310345,-0.004849138,-0.000538793
DE0007100000,17828.0,2018,4,0.004259851,0.000354988,0.000354988,-0.000354988,0.0
DE0007164600,103487.0,2017,3,0.000846262,0.0,0.000282087,0.0,0.000282087
DE0007164634,103487.0,2014,1,0.000721388,0.0,0.000181225,0.0,0.000181225
DE0008019001,213367.0,2019,2,0.000388802,0.0,0.0,0.0,0.0
DE000A0BVU93,271499.0,2010,2,0.003447087,0.000344709,0.000689417,-0.001034126,-0.000344709
DE000A0D9PT0,273099.0,2020,4,0.001285347,0.0,0.0,0.0,0.0
DE000A0LR9G9,338504.0,2022,1,0.001319261,0.0,0.002308707,-0.000659631,0.001649077
DE000A12DM80,317079.0,2022,4,0.000662252,0.0,0.0,-0.000331126,-0.000331126
DE000A1X3XX4,278556.0,2022,4,0.000550055,0.0,0.0,0.0,0.0
DE000A2NB601,218000.0,2018,4,0.001366587,0.0,0.001366587,-0.001366587,0.0
DE000KD88880,104357.0,2011,4,0.00024325,0.0,0.0,0.0,0.0
DE000LEG1110,314874.0,2015,1,0.000791413,0.0,0.001071055,0.0,0.001071055
DE000PSM7770,205865.0,2018,2,0.001068947,0.0,0.000267237,-0.00080171,-0.000534474
DE000SHA0159,320124.0,2016,3,0.001231527,0.0,0.000615764,0.0,0.000615764
DE000SHL1006,326765.0,2019,3,0.000954198,0.0,0.000954198,-0.000636132,0.000318066
DE000TLX1005,269809.0,2021,1,0.002656546,0.0,0.00113852,0.0,0.00113852
DE000WAF3001,319865.0,2022,1,0.005835765,0.000833681,0.002501042,-0.001250521,0.001250521
DK0010181759,101130.0,2011,1,0.00054615,0.0,0.000273075,-0.000273075,0.0
DK0010272202,245207.0,2020,4,0.000659196,0.0,0.0,0.0,0.0
DK0060083210,244857.0,2019,3,0.002035278,0.0,0.000678426,-0.001356852,-0.000678426
DK0060448595,101538.0,2014,4,0.000962001,0.0,0.0,0.0,0.0
ES0115056139,278356.0,2010,1,0.000640615,0.0,0.0,-0.000320307,-0.000320307
ES0115056139,278356.0,2019,4,0.000410678,0.0,0.0,-0.000410678,-0.000410678
ES0130670112,15321.0,2017,1,0.012987013,0.0,0.004201681,-0.005347594,-0.001145913
FI0009003727,101557.0,2010,2,0.002039984,0.0,0.0,0.0,0.0
FI0009006886,242362.0,2014,4,0.000535619,0.0,0.000535619,0.0,0.000535619
FI0009007660,205012.0,2024,2,0.000977517,0.0,0.000977517,0.0,0.000977517
FI0009008072,211426.0,2024,4,0.00273224,0.0,0.00273224,0.0,0.00273224
FI0009014351,278136.0,2024,2,0.000903342,0.0,0.000903342,-0.000903342,0.0
FI0009800643,217500.0,2022,3,0.002185792,0.0,0.001092896,0.0,0.001092896
FI4000062781,315527.0,2021,4,0.004727273,0.0,0.003272727,0.0,0.003272727
FI4000306873,326865.0,2022,3,0.000926355,0.0,0.0,0.0,0.0
FI4000391487,334204.0,2022,4,0.001392758,0.0,0.0,0.0,0.0
FR0000053225,204796.0,2017,1,0.000438982,0.0,0.0,0.0,0.0
FR0000053225,204796.0,2019,1,0.000429553,0.0,0.000429553,0.0,0.000429553
FR0000120271,24625.0,2013,1,0.001774848,0.0,0.001014199,-0.000507099,0.000507099
FR0000120560,228624.0,2014,1,0.002823264,0.0,0.0,0.0,0.0
FR0000120578,101204.0,2003,2,0.000419563,0.000147232,0.0,-0.000147232,-0.000147232
FR0000121485,222379.0,2007,1,0.000276855,0.0,0.0,0.0,0.0
FR0000124570,103264.0,2017,3,0.009016745,0.0,0.000858738,0.0,0.000858738
FR0000127771,101264.0,2023,1,0.000410678,0.0,0.0,0.0,0.0
FR0000131708,30923.0,2016,4,0.000339328,0.0,0.0,0.0,0.0
FR0010241638,274262.0,2019,3,0.000824742,0.0,0.000412371,0.0,0.000412371
FR0010451203,103260.0,2008,2,0.001658375,0.0,0.001658375,-0.001658375,0.0
FR0010613471,289259.0,2011,3,0.004994125,0.0,0.001762632,-0.001175088,0.000587544
GB0002162385,15545.0,2019,3,0.000514801,0.0,0.000514801,0.0,0.000514801
GB0002418548,100240.0,2021,1,0.003354579,0.0,0.00167729,0.0,0.00167729
GB0003753778,210614.0,2009,3,0.003286771,0.0,0.000547795,0.0,0.000547795
GB0004300496,237983.0,2021,3,0.006099886,0.0,0.001143729,-0.001143729,0.0
GB0006449366,200186.0,2022,3,0.003649635,0.0,0.001042753,-0.001042753,0.0
GB0006731235,17404.0,2009,2,0.000329164,0.0,0.0,0.0,0.0
GB0006731235,17404.0,2020,2,0.0001998,0.0,0.0,0.0,0.0
GB0006825383,101232.0,2007,3,0.001889169,0.0,0.004722922,0.0,0.004722922
GB0008085614,222281.0,2019,3,0.00044603,0.0,0.0,0.0,0.0
GB0009252882,5180.0,2010,4,0.000311915,0.0,0.00062383,0.0,0.00062383
GB0009292243,212128.0,2022,2,0.003828275,0.0,0.002734482,0.0,0.002734482
GB0022569080,111880.0,2019,1,0.000304785,0.0,0.000304785,0.0,0.000304785
GB0030913577,2411.0,2002,3,0.000186846,0.0,0.0,0.0,0.0
GB0033986497,102260.0,2019,3,0.000565451,0.0,0.0,0.0,0.0
GB00B01TND91,270622.0,2017,2,0.002685079,0.0,0.001917913,0.0,0.001917913
GB00B0744359,273092.0,2024,1,0.001100917,0.0,0.001834862,0.0,0.001834862
GB00B082RF11,100091.0,2024,4,0.000767958,0.0,0.0,-0.000211327,-0.000211327
GB00B0SWJX34,246706.0,2021,3,0.001811125,0.0,0.000776197,0.0,0.000776197
GB00B0ZSH635,18766.0,2009,3,0.00063012,0.0,0.0,0.0,0.0
GB00B3Y5L754,104904.0,2007,1,0.000670691,0.0,0.0,0.0,0.0
GB00B5BT0K07,3221.0,2008,1,0.000371103,0.000123701,0.000742207,-0.000371103,0.000371103
GB00B5BT0K07,3221.0,2024,3,0.001851362,0.0,0.0,0.0,0.0
GB00B82YXW83,100280.0,2018,1,0.000412712,0.0,0.0,0.0,0.0
GB00BDCPN049,12756.0,2001,2,0.000462107,0.0,0.000462107,0.0,0.000462107
GB00BH4HKS39,14894.0,2022,2,0.00128621,0.0,0.000213402,-0.000219202,-5.8e-06
GB00BHJYC057,20067.0,2008,1,0.000130344,0.0,0.000260688,0.0,0.000260688
GB00BLWDVR75,317920.0,2022,3,0.001300954,0.0,0.000433651,-0.000433651,0.0
GB00BVFNZH21,101241.0,2020,3,0.003041054,0.0,0.001520527,-0.000253421,0.001267106
GB00BVG7F061,245918.0,2018,4,0.000419463,0.0,0.0,-0.000838926,-0.000838926
GB00BYMT0J19,27810.0,2016,2,0.000417014,0.0,0.000417014,0.0,0.000417014
GRS074083007,336884.0,2020,2,0.002265519,0.0,0.002265519,-0.000453104,0.001812415
GRS298343005,112296.0,2008,3,0.003101462,0.0,0.00443066,-0.000443066,0.003987594
HK0000063609,311391.0,2014,3,0.000927214,0.0,0.0,0.0,0.0
HK0000218211,318493.0,2021,1,0.000940291,0.0,0.0,0.0,0.0
HK0014000126,15749.0,2018,1,0.000553403,0.0,0.0,0.0,0.0
HK0992009065,107225.0,2024,1,0.001645413,0.0,0.00370218,-0.000411353,0.003290827
HK2388011192,31648.0,2021,3,0.004089219,0.000371747,0.003345725,-0.001858736,0.001486989
ID1000097405,30821.0,2006,4,0.000315856,0.0,0.000315856,0.0,0.000315856
ID1000102502,269922.0,2013,1,0.000391389,0.0,0.0,0.0,0.0
ID1000113301,203628.0,2017,2,0.000516262,0.0,0.001032525,0.0,0.001032525
IE00BLS09M33,8463.0,2016,1,0.002939015,0.0,0.0,-0.002204262,-0.002204262
IL0010823388,8169.0,2010,4,0.003528582,0.0,0.001411433,0.0,0.001411433
IL0010826506,12522.0,2020,2,0.00085034,0.0,0.0,0.0,0.0
IL0010829658,120860.0,2021,2,0.00100452,0.0,0.00050226,0.0,0.00050226
IL0011050551,286396.0,2022,2,0.000786782,0.0,0.0,0.0,0.0
IL0011794802,39550.0,2024,3,0.000628141,0.0,0.0,-0.00031407,-0.00031407
INE002A01018,207074.0,2021,4,0.001348436,0.0,0.000539374,-0.000269687,0.000269687
INE009A01021,211009.0,2012,2,0.000464037,0.0,0.0,0.0,0.0
INE015C01016,311785.0,2024,3,0.001646542,0.0,0.0,0.0,0.0
INE036D01028,270173.0,2021,4,0.000257732,0.0,0.0,0.0,0.0
INE038A01020,203072.0,2021,3,0.006628003,0.0,0.002209334,0.0,0.002209334
INE038A01020,203072.0,2023,3,0.003286231,0.0,0.001314492,-0.000657246,0.000657246
INE074A01025,271759.0,2022,2,0.010098743,0.000224417,0.003366248,-0.001122083,0.002244165
INE093I01010,295635.0,2015,3,0.000790202,0.0,0.0,0.0,0.0
INE111Q01021,318557.0,2023,3,0.000690131,0.0,0.002070393,0.0,0.002070393
INE114A01011,206015.0,2023,1,0.002023268,0.0,0.000505817,-0.000505817,0.0
INE119A01028,211034.0,2024,3,0.003075031,0.0,0.003075031,-0.000615006,0.002460025
INE169A01031,222349.0,2022,1,0.00096494,0.0,0.00096494,-0.000321647,0.000643294
INE172A01027,201060.0,2023,4,0.012478729,0.00226886,0.014180374,-0.002836075,0.011344299
INE189I01024,285447.0,2024,2,0.003202847,0.0,0.0,0.0,0.0
INE211R01019,320288.0,2023,2,0.000841043,0.0,0.000420521,0.0,0.000420521
INE219X23014,324676.0,2023,3,0.004941322,0.0,0.00123533,0.0,0.00123533
INE220B01022,274655.0,2024,1,0.000361011,0.0,0.000361011,0.0,0.000361011
INE457F01013,293713.0,2023,1,0.003250711,0.000406339,0.001219017,-0.000406339,0.000812678
INE475E01026,297554.0,2024,4,0.000349528,0.0,0.0,0.0,0.0
INE576I01022,288226.0,2024,1,0.000849618,0.0,0.000424809,0.0,0.000424809
INE634I01029,288466.0,2024,2,0.000886918,0.0,0.0,-0.000443459,-0.000443459
INE679A01013,336430.0,2023,1,0.00029163,0.0,0.0,-0.00029163,-0.00029163
INE686F01025,273468.0,2021,4,0.000970403,0.0,0.000485201,0.0,0.000485201
INE692A01016,257156.0,2019,1,0.000528541,0.0,0.0,0.0,0.0
INE712K01011,320339.0,2024,1,0.005217391,0.0,0.003478261,-0.00173913,0.00173913
INE726V01018,323044.0,2024,3,0.001962067,0.0,0.0,0.0,0.0
INE731H01025,279205.0,2021,3,0.000761615,0.0,0.000761615,0.0,0.000761615
INE736A01011,324870.0,2020,3,0.000381534,0.0,0.0,0.0,0.0
INE795G01014,325925.0,2023,3,0.0002531,0.0,0.0,0.0,0.0
INE913H01037,322687.0,2021,2,0.0056164,0.0,0.00224656,0.0,0.00224656
IT0000062957,15593.0,2022,4,0.000776398,0.000776398,0.0,-0.000776398,-0.000776398
IT0001137345,201535.0,2013,1,0.00109529,0.0,0.0,0.0,0.0
IT0001233417,222601.0,2010,2,0.003558719,0.0,0.001016777,0.0,0.001016777
IT0003128367,201794.0,2007,4,0.007132132,0.001126126,0.001876877,-0.000750751,0.001126126
IT0003497168,19151.0,2003,4,0.000261134,0.0,0.000135062,0.0,0.000135062
IT0003865570,102267.0,2022,1,0.00446628,0.0,0.000893256,-0.000446628,0.000446628
IT0005239360,15549.0,2004,3,0.000877272,0.000132873,0.000478654,-0.000305763,0.000172891
IT0005252140,101083.0,2019,2,0.000357398,0.0,0.000357398,0.0,0.000357398
JE00B783TY65,118122.0,2013,4,0.0008,0.0,0.0,0.0,0.0
JE00BJJN4441,35211.0,2022,1,0.00101626,0.0,0.00050813,0.0,0.00050813
JP3223800008,101042.0,2020,3,0.007142857,0.000549451,0.003846154,-0.002197802,0.001648352
JP3502200003,15483.0,2019,4,0.001751313,0.0,0.001751313,0.0,0.001751313
JP3663900003,255820.0,2024,4,0.001013171,0.0,0.0,0.0,0.0
JP3830800003,100369.0,2018,2,0.002309469,0.0,0.0,-0.003464203,-0.003464203
JP3830800003,100369.0,2020,3,0.002813299,0.0,0.000511509,-0.000255754,0.000255754
JP3877600001,100545.0,2011,2,0.000841397,0.000210349,0.000420698,0.0,0.000420698
JP3893600001,7471.0,2012,1,0.00097704,0.0,0.00048852,-0.00048852,0.0
JP3942800008,100667.0,2018,4,0.001745201,0.0,0.0,0.0,0.0
KR7005930003,104604.0,2020,4,0.001386642,0.0,0.000693321,-0.000924428,-0.000231107
KR7010950004,223142.0,2015,1,0.000610128,0.0,0.000610128,-0.000610128,0.0
KR7032640005,243241.0,2015,1,0.000475964,0.0,0.000475964,0.0,0.000475964
KR7035720002,137802.0,2013,4,0.000598444,0.0,0.000598444,-0.001196888,-0.000598444
KR7055550008,25714.0,2010,1,0.000467946,0.0,0.000467946,0.0,0.000467946
KYG062071157,186230.0,2016,3,0.000967118,0.0,0.0,0.0,0.0
KYG1144A1058,32878.0,2024,2,0.002314815,0.0,0.000462963,0.0,0.000462963
KYG236271055,327266.0,2023,1,0.001009082,0.0,0.000504541,0.0,0.000504541
KYG237731073,62618.0,2014,2,0.005354752,0.000669344,0.001338688,-0.000669344,0.000669344
KYG4412G1010,14269.0,2014,3,0.000267308,0.0,0.0,-0.000267308,-0.000267308
KYG875721634,270615.0,2021,2,0.000936549,0.0,0.000468274,0.0,0.000468274
LU0122624777,249138.0,2009,3,0.000794281,0.0,0.0,0.0,0.0
MA0000011488,271425.0,2014,1,0.000515198,0.0,0.000515198,0.0,0.000515198
MHY2066G1044,163060.0,2021,2,0.000791766,0.0,0.000395883,-0.000395883,0.0
MHY2685T1313,163930.0,2017,3,0.000429369,0.0,0.000429369,0.0,0.000429369
MHY271836006,174700.0,2018,4,0.001614205,0.0,0.000403551,0.0,0.000403551
